case_id,step,joint,pytorch_reference,rust_actual,signed_error,abs_error,tolerance,pass
001,0,0,-8.306033134,-8.306035995,-0.000002861,0.000002861,0.000083070,true
001,0,1,-6.520919800,-6.520931244,-0.000011444,0.000011444,0.000065219,true
001,0,2,9.523948669,9.523983002,0.000034332,0.000034332,0.000095249,true
001,0,3,10.043050766,10.043025970,-0.000024796,0.000024796,0.000100441,true
001,0,4,-1.975337267,-1.975337267,0.000000000,0.000000000,0.000019763,true
001,0,5,62.720268250,62.720283508,0.000015259,0.000015259,0.000627213,true
001,1,0,-8.173223495,-8.173222542,0.000000954,0.000000954,0.000081742,true
001,1,1,-5.052509308,-5.052444458,0.000064850,0.000064850,0.000050535,false
001,1,2,7.886489868,7.886417389,-0.000072479,0.000072479,0.000078875,true
001,1,3,10.281669617,10.281671524,0.000001907,0.000001907,0.000102827,true
001,1,4,-1.937831163,-1.937832355,-0.000001192,0.000001192,0.000019388,true
001,1,5,62.620479584,62.620498657,0.000019073,0.000019073,0.000626215,true
001,2,0,-7.981183529,-7.981183052,0.000000477,0.000000477,0.000079822,true
001,2,1,-3.684783936,-3.684768677,0.000015259,0.000015259,0.000036858,true
001,2,2,6.462936401,6.462924957,-0.000011444,0.000011444,0.000064639,true
001,2,3,10.447864532,10.447854996,-0.000009537,0.000009537,0.000104489,true
001,2,4,-1.909468412,-1.909468412,0.000000000,0.000000000,0.000019105,true
001,2,5,62.564857483,62.564865112,0.000007629,0.000007629,0.000625659,true
001,3,0,-7.893024445,-7.893024445,0.000000000,0.000000000,0.000078940,true
001,3,1,-2.996948242,-2.996875763,0.000072479,0.000072479,0.000029979,false
001,3,2,5.569255829,5.569210052,-0.000045776,0.000045776,0.000055703,true
001,3,3,10.472637177,10.472637177,0.000000000,0.000000000,0.000104736,true
001,3,4,-1.889047146,-1.889045954,0.000001192,0.000001192,0.000018900,true
001,3,5,62.635253906,62.635276794,0.000022888,0.000022888,0.000626363,true
001,4,0,-7.786483765,-7.786483765,0.000000000,0.000000000,0.000077875,true
001,4,1,-2.260318756,-2.260326385,-0.000007629,0.000007629,0.000022613,true
001,4,2,4.632244110,4.632247925,0.000003815,0.000003815,0.000046332,true
001,4,3,10.616079330,10.616077423,-0.000001907,0.000001907,0.000106171,true
001,4,4,-1.871772528,-1.871773958,-0.000001431,0.000001431,0.000018728,true
001,4,5,62.619514465,62.619522095,0.000007629,0.000007629,0.000626205,true
001,5,0,-7.578357697,-7.578360558,-0.000002861,0.000002861,0.000075794,true
001,5,1,-0.702716827,-0.702690125,0.000026703,0.000026703,0.000007037,false
