case_id,step,joint,pytorch_reference,rust_actual,signed_error,abs_error,tolerance,pass
002,0,0,-5.463440895,-14.999835968,-9.536395073,9.536395073,0.000054644,false
002,0,1,24.590629578,-32.970947266,-57.561576843,57.561576843,0.000245916,false
002,0,2,-29.461856842,15.485095978,44.946952820,44.946952820,0.000294629,false
002,0,3,14.637718201,26.726587296,12.088869095,12.088869095,0.000146387,false
002,0,4,-0.347373009,0.913759708,1.261132717,1.261132717,0.000003484,false
002,0,5,19.363046646,-0.080047607,-19.443094254,19.443094254,0.000193640,false
002,1,0,-5.392931938,-15.036300659,-9.643368721,9.643368721,0.000053939,false
002,1,1,24.737174988,-34.469543457,-59.206718445,59.206718445,0.000247382,false
002,1,2,-29.439624786,15.221809387,44.661434174,44.661434174,0.000294406,false
002,1,3,14.636574745,28.077817917,13.441243172,13.441243172,0.000146376,false
002,1,4,-0.272811890,1.299728632,1.572540522,1.572540522,0.000002738,false
002,1,5,15.588041306,-0.070745468,-15.658786774,15.658786774,0.000155890,false
002,2,0,-5.276463509,-15.553747177,-10.277283669,10.277283669,0.000052775,false
002,2,1,24.863929749,-38.040641785,-62.904571533,62.904571533,0.000248649,false
002,2,2,-29.611164093,15.090351105,44.701515198,44.701515198,0.000296122,false
002,2,3,14.851804733,31.715337753,16.863533020,16.863533020,0.000148528,false
002,2,4,-0.243361235,1.729154348,1.972515583,1.972515583,0.000002444,false
002,2,5,11.934856415,-0.043056488,-11.977912903,11.977912903,0.000119359,false
002,3,0,-5.147764683,-16.382997513,-11.235232830,11.235232830,0.000051488,false
002,3,1,24.809753418,-42.250148773,-67.059902191,67.059902191,0.000248108,false
002,3,2,-29.578647614,15.198192596,44.776840210,44.776840210,0.000295796,false
002,3,3,14.979804039,35.644603729,20.664799690,20.664799690,0.000149808,false
002,3,4,-0.197961807,2.114130259,2.312092066,2.312092066,0.000001990,false
002,3,5,7.321666718,-0.059293747,-7.380960464,7.380960464,0.000073227,false
002,4,0,-5.036690712,-16.650268555,-11.613577843,11.613577843,0.000050377,false
002,4,1,24.926391602,-44.758266449,-69.684658051,69.684658051,0.000249274,false
002,4,2,-29.681819916,14.251972198,43.933792114,43.933792114,0.000296828,false
002,4,3,14.996426582,39.412357330,24.415930748,24.415930748,0.000149974,false
002,4,4,-0.151680470,2.464179277,2.615859747,2.615859747,0.000001527,false
002,4,5,3.895763397,-0.054811478,-3.950574875,3.950574875,0.000038968,false
002,5,0,-4.822651863,-17.081956863,-12.259305000,12.259305000,0.000048237,false
002,5,1,24.875328064,-47.248046875,-72.123374939,72.123374939,0.000248763,false
002,5,2,-29.593982697,13.996799469,43.590782166,43.590782166,0.000295950,false
002,5,3,15.111372948,42.497867584,27.386494637,27.386494637,0.000151124,false
002,5,4,-0.161790371,2.535333395,2.697123766,2.697123766,0.000001628,false
002,5,5,0.631336212,-0.065155029,-0.696491241,0.696491241,0.000006323,false
002,6,0,-4.587165833,-17.331871033,-12.744705200,12.744705200,0.000045882,false
002,6,1,24.528617859,-51.124927521,-75.653545380,75.653545380,0.000245296,false
002,6,2,-29.088649750,13.972652435,43.061302185,43.061302185,0.000290896,false
002,6,3,14.930857658,47.607654572,32.676796913,32.676796913,0.000149319,false
002,6,4,-0.198687315,2.216461420,2.415148735,2.415148735,0.000001997,false
002,6,5,-0.197860718,-0.204431534,-0.006570816,0.006570816,0.000001989,false
002,7,0,-4.454890728,-17.556701660,-13.101810932,13.101810932,0.000044559,false
002,7,1,24.498504639,-53.761707306,-78.260211945,78.260211945,0.000244995,false
002,7,2,-28.930736542,13.888984680,42.819721222,42.819721222,0.000289317,false
002,7,3,14.926869392,51.204727173,36.277857780,36.277857780,0.000149279,false
002,7,4,-0.204254150,1.621609926,1.825864077,1.825864077,0.000002053,false
002,7,5,-0.280216217,-0.314775467,-0.034559250,0.034559250,0.000002812,false
002,8,0,-4.371977329,-17.793657303,-13.421679974,13.421679974,0.000043730,false
002,8,1,24.438041687,-54.854484558,-79.292526245,79.292526245,0.000244390,false
002,8,2,-28.906276703,13.219226837,42.125503540,42.125503540,0.000289073,false
002,8,3,15.070387840,53.551868439,38.481480598,38.481480598,0.000150714,false
002,8,4,-0.237266779,1.276704550,1.513971329,1.513971329,0.000002383,false
002,8,5,-0.197467804,-0.372926712,-0.175458908,0.175458908,0.000001985,false
002,9,0,-4.216514587,-18.192096710,-13.975582123,13.975582123,0.000042175,false
002,9,1,24.355278015,-57.740646362,-82.095924377,82.095924377,0.000243563,false
002,9,2,-28.853458405,12.912513733,41.765972137,41.765972137,0.000288545,false
002,9,3,15.128580093,58.153144836,43.024564743,43.024564743,0.000151296,false
002,9,4,-0.287443161,0.032041073,0.319484234,0.319484234,0.000002884,false
002,9,5,-0.067718506,-0.454999924,-0.387281418,0.387281418,0.000000687,false
002,10,0,-4.095410824,-18.602651596,-14.507240772,14.507240772,0.000040964,false
002,10,1,24.291908264,-59.781303406,-84.073211670,84.073211670,0.000242929,false
002,10,2,-28.725826263,12.994922638,41.720748901,41.720748901,0.000287268,false
002,10,3,15.251093864,60.638946533,45.387852669,45.387852669,0.000152521,false
002,10,4,-0.341281176,-0.778992176,-0.437711000,0.437711000,0.000003423,false
002,10,5,0.087036133,-0.497354507,-0.584390640,0.584390640,0.000000880,false
002,11,0,-4.126077652,-19.360202789,-15.234125137,15.234125137,0.000041271,false
002,11,1,24.671607971,-63.023448944,-87.695056915,87.695056915,0.000246726,false
002,11,2,-29.409320831,13.669525146,43.078845978,43.078845978,0.000294103,false
002,11,3,15.817742348,64.561500549,48.743758202,48.743758202,0.000158187,false
002,11,4,-0.301093340,-2.173991203,-1.872897863,1.872897863,0.000003021,false
002,11,5,0.078048706,-0.451259613,-0.529308319,0.529308319,0.000000790,false
002,12,0,-4.007377625,-19.962287903,-15.954910278,15.954910278,0.000040084,false
002,12,1,24.615020752,-64.093917847,-88.708938599,88.708938599,0.000246160,false
002,12,2,-29.502674103,13.074150085,42.576824188,42.576824188,0.000295037,false
002,12,3,16.069917679,67.273323059,51.203405380,51.203405380,0.000160709,false
002,12,4,-0.337599277,-3.131057978,-2.793458700,2.793458700,0.000003386,false
002,12,5,0.175048828,-0.381851196,-0.556900024,0.556900024,0.000001760,false
002,13,0,-3.931384563,-20.906663895,-16.975279331,16.975279331,0.000039324,false
002,13,1,24.753234863,-67.269256592,-92.022491455,92.022491455,0.000247542,false
002,13,2,-30.196376801,14.580795288,44.777172089,44.777172089,0.000301974,false
002,13,3,17.001705170,69.684982300,52.683277130,52.683277130,0.000170027,false
002,13,4,-0.353337526,-4.234033108,-3.880695581,3.880695581,0.000003543,false
